Statistical unit;Unit of measure;Sex;Age;Reference area;Time Period;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
FR:Fertility rate;BIRTH_R_WOMEN:Births per woman;_T:Total;_T:Total;IR:Iran (Islamic Republic of);FR:BIRTH_R_WOMEN:_T:_T:IR;644.000;635.900;629.200;624.300;621.400;621.200;623.800;628.900;635.400;642.200;648.100;651.600;651.500;647.000;637.400;622.300;601.400;575.800;546.700;515.000;481.800;447.800;413.900;381.000;350.000;321.600;296.100;273.400;253.300;235.800;221.100;209.200;199.700;192.500;187.000;183.100;180.500;178.800;177.800;177.200;176.500;175.500;174.200;172.700;170.800;168.600;166.100;
PPP_FCT_PRIV_CONS:PPP conversion factor, private consumption;LCU_INTER:LCU per international $;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);PPP_FCT_PRIV_CONS:LCU_INTER:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;20.864.649;23.445.554;28.629.191;33.704.492;43.177.719;62.854.702;78.735.292;90.284.679;104.788.452;123.126.201;136.346.644;147.548.722;166.067.329;189.122.065;211.380.187;231.907.116;251.483.084;286.595.356;346.516.894;394.700.926;427.697.908;500.136.341;619.624.151;850.470.044;981.135.403;1.114.286.011;1.194.842.945;
ILO_ETPR:ILO Employment-to-population ratio;PT:Percentage;M:Male;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_ETPR:PT:M:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;7.230.000;7.190.000;7.130.000;7.070.000;6.980.000;6.850.000;6.740.000;6.620.000;6.520.000;6.410.000;6.410.000;6.540.000;66;6.740.000;6.650.000;66;6.560.000;6.390.000;63;6.160.000;6.220.000;6.220.000;6.310.000;6.330.000;6.380.000;64;6.350.000
POP:Population;PER:Number of persons;_T:Total;Y15T24:15-24 years;IR:Iran (Islamic Republic of);POP:PER:_T:Y15T24:IR;523.351.100;551.904.200;580.535.600;608.566.300;635.269.600;660.248.300;683.629.000;704.915.500;725.168.300;745.839.000;767.631.400;787.486.500;809.518.700;833.618.200;859.706.400;887.924.100;911.170.400;939.022.600;971.234.300;1.007.068.900;1.046.234.000;1.075.397.600;1.102.537.200;1.130.701.100;1.164.625.200;1.208.240.300;1.276.033.600;1.350.394.500;1.427.245.200;1.501.409.900;1.569.504.600;1.637.302.000;1.703.905.100;1.765.727.300;1.815.459.000;1.845.637.300;1.836.984.900;1.807.577.600;1.760.306.500;1.701.100.200;1.635.014.800;1.564.164.400;1.486.536.800;1.406.360.700;1.329.665.000;1.261.091.700;1.202.252.500;11546
GDP:Gross domestic product;INTER_CONST2011:constant 2011 international $;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP:INTER_CONST2011:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;64.056.039.011.716.300;71.988.343.159.688.200;74.029.016.681.973.900;74.798.916.889.007.300;73.668.265.624.507.200;75.349.862.447.226.000;79.247.924.438.110.100;79.629.936.577.804.700;81.364.135.757.343.700;82.060.172.259.931.900;86.867.311.802.959.800;87.543.694.339.099.000;93.904.226.212.651.600;102.106.370.139.151.000;106.573.022.772.856.000;109.972.493.409.211.000;115.470.892.923.980.000;124.888.437.436.523.000;125.201.728.266.388.000;126.462.992.269.989.000;133.795.238.536.280.000;137.335.083.135.752.000;127.111.094.549.842.000;126.864.405.636.604.000;132.704.505.637.538.000;130.951.950.060.168.000;148.494.571.947.051.000;154.879.860.934.940.000
GDP:Gross domestic product;USD_CUR:current US$;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP:USD_CUR:_Z:_Z:IR;1.097.624.515.444.690;1.373.180.156.468.500;1.715.346.326.366.270;2.708.169.824.916.030;4.620.909.207.259.220;5.177.622.234.968.910;6.805.529.508.017.420;8.060.012.270.146.480;7.799.431.662.162.830;9.039.187.732.498.640;9.436.227.557.983.430;10.049.931.274.872.400;12.594.875.643.966.800;15.636.515.661.880.600;16.227.672.861.874.300;18.018.362.959.869.200;20.909.456.183.381.600;13.400.999.592.257.200;12.305.786.133.392.300;12.049.636.291.624.500;12.481.326.392.624.500;;;6.374.362.323.202.520;7.184.146.117.257.020;9.641.922.574.363.750;12.040.393.188.544.800;11.391.916.342.112.100;11.027.691.336.253.200;11.384.845.008.836.200;10.959.170.780.223.000;12.687.875.029.595.400;12.862.691.750.371.700;15.354.475.139.543.100;19.004.343.396.484.600;22.645.213.829.154.500;26.629.891.166.114.200;34.988.160.145.855.800;40.607.094.955.387.000;41.405.909.494.906.000;48.706.957.046.376.500;58.350.035.753.041.300;59.885.340.127.610.400;46.741.485.223.129.700;43.447.461.683.191.400;38.587.447.439.858.900;41.897.671.158.686.200;43.951.351.162.059.100
ILO_EMP:ILO Employment;PER:Number of persons;_T:Total;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_EMP:PER:_T:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;12793;13092;13334;13614;13890;14241;14716;15183;15716;16197;17082;18399;19560;21051;21705;21937;22087;21448;21690;21303;21684;21788;22302;22323;23069;23789;23762
GDP:Gross domestic product;LCU_CUR:current LCU;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP:LCU_CUR:_Z:_Z:IR;83.145.057.044.934.900;104.018.396.852.489.000;129.937.484.222.245.000;186.544.153.879.865.000;312.488.985.140.904.000;352.937.797.268.891.000;480.028.023.848.008.000;568.867.606.014.667.000;549.664.946.390.925.000;637.036.755.447.841.000;675.397.987.462.663.000;804.265.850.134.214.000;1.063.662.437.884.270.000;1.363.941.988.154.510.000;1.491.355.591.351.970.000;1.580.805.037.558.210.000;1.600.618.870.837.870.000;1.941.938.850.913.980.000;2.190.060.758.159.820.000;2.723.217.801.907.130.000;3.798.654.243.616.110.000;5.378.543.861.218.840.000;7.186.121.472.996.120.000;1,06133E+14;1,39732E+14;1,9737E+14;2.704.272.310.147.150.000;3,16638E+14;3,53548E+14;4,74976E+14;6,2807E+14;7,38307E+14;1,02361E+15;1,25813E+15;1,63703E+15;2,02991E+15;2,44221E+15;3,2473E+15;3,88772E+15;4,10747E+15;5,03581E+15;6,39633E+15;7,34194E+15;9,93397E+15;1,15175E+16;1,14142E+16;1,31513E+16;1,48274E+16
ILO_LFPR:ILO Labour force participation rate;PT:Percentage;_T:Total;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_LFPR:PT:_T:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;4.560.000;4.510.000;4.460.000;4.410.000;4.360.000;43;4.310.000;4.340.000;4.370.000;4.410.000;4.460.000;4.530.000;4.590.000;4.660.000;4.740.000;4.640.000;4.540.000;4.330.000;4.380.000;4.320.000;4.280.000;4.240.000;42;4.160.000;4.280.000;4.430.000;4.420.000
TDS:Total debt service;GNI:as % of GNI;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);TDS:GNI:_Z:_Z:IR;0;0;0;0;0;0;0;0;0;0;0.99474;0.71683;0.89703;0.66619;0.45750;0.32388;0.25866;0.31806;0.49893;0.37312;0.52181;;;282.036;458.379;587.409;545.074;549.687;246.335;346.378;268.546;0.94076;107.416;102.867;111.432;124.706;106.762;0.82295;0.70191;0.58060;0.37105;0.28341;0.09904;0.09310;0.11744;0.20584;0.49993;
