Statistical unit;Unit of measure;Level of education;Orientation;Type of institution;Type of expenditure;Source of funding;Funding flow;Teaching experience;Type of contract;Reference area;Time Period;2010;2011;2012;2013;2014;2015;2016;2017
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L1:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;216.637.340;235.402.283;202.659.238;137.056.282;135.281.895;136.305.464;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L1:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;7.569.967;;8.424.007;8.583.485
XUNIT:Government expenditure per student;GNI_CAP:as % of GNI per capita;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GNI_CAP:L3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.906.300;1.440.887;1.484.486;1.660.176;1.399.277;1.449.455;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2_3:Secondary education;_T:Total;INST_T:All institutions;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2_3:_T:INST_T:_T:GOV:_T:_Z:_Z:IR;182.426;136.887;131.270;138.992;111.123;105.985;122.951;125.228
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);Y1:In the first year of teaching;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L2:_T:_T:_T:GOV:FFNTP:Y1:PERM:IR;;;;;;10.089.461;;
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;316.581.507;253.347.282;270.080.054;283.079.585;238.860.530;259.189.231;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L3:_T:_T:CUR:GOV:_T:_Z:_Z:IR;2.792.536;2.198.420;2.280.930;2.629.651;2.340.676;;;2.047.137
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L2:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;97.625.119;80.690.526;76.434.355;111.685.395;86.825.668;80.706.473;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L1:Primary education;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L1:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;414.725;476.419;355.165;306.892;123.390
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L2:_T:_T:_T:GOV:_T:_Z:_Z:IR;2.111.964;1.737.927;1.754.005;1.876.729;1.569.063;1.379.781;1.465.601;1.321.141
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L5T8:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;278.389.967;324.893.316;287.591.335;215.774.799;223.748.015;;318.476.441;
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L1:Primary education;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L1:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;9.164.504;9.543.719;9.296.909;9.585.275;9.523.581;;;100
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.042.898;;1.479.880;1.521.830
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L2_3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;102.804.956;82.855.707;82.917.378;98.564.740;79.653.169;80.609.288;;
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L5T8:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;1.231.656;1.452.388;1.332.338;1.176.116;1.214.953;;;
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L02:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;94.042.448;160.354.058;107.136.119;7.431.410;;;;
XUNIT:Government expenditure per student;USD:US dollar;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;107.085.777;94.132.988;114.749.855;130.953.911;85.039.778;80.553.728;;
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;344.542.632;272.396.519;284.513.292;292.813.746;243.147.299;259.189.231;;
XUNIT:Government expenditure per student;USD:US dollar;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L02:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;31.810.477;59.580.693;45.519.296;3.437.804;4.736.830;4.436.371;;
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L5T8:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;278.389.967;324.893.316;287.591.335;215.774.799;223.748.015;;318.476.441;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L02:Pre-primary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L02:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;5.654.351;;5.127.801;5.127.798
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;_X:Not allocated by level;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:_X:_T:_T:_T:GOV:_T:_Z:_Z:IR;0;0;0;0;0;0;0;0
